工厂编码,物料编码,M+1月预测需求量,M+2月预测需求量,M+3月预测需求量
2000,1072,0.33,0.01,0.0
2000,1073,0.29,0.0,0.08
2000,1074,47.34,44.7,40.9
2000,1075,0.05,0.13,0.0
2000,1076,0.0,0.2,0.19
2000,1077,22.26,21.93,22.11
2000,1078,0.03,0.0,0.0
2000,1079,0.0,0.0,0.0
2000,1080,0.17,0.0,0.17
2000,1081,0.0,0.0,0.0
2000,1082,0.16,0.14,0.0
2000,1083,0.0,0.0,0.0
2000,1084,0.0,0.0,0.0
2000,1085,0.0,0.1,0.0
2000,1086,0.1,0.23,0.24
2000,1087,0.0,0.14,0.0
2000,1088,0.0,0.0,0.27
2000,1089,0.0,0.06,0.0
2000,1090,0.0,0.12,0.17
2000,1091,73.67,72.01,70.35
2000,1092,0.0,0.19,0.0
2000,1093,0.0,0.0,0.0
2000,1094,0.0,0.17,0.0
2000,1095,0.0,0.0,0.0
2000,1096,0.07,0.14,0.16
2000,1097,0.0,0.0,0.0
2000,1098,0.17,0.0,0.53
2000,1099,0.25,0.0,0.03
2000,1100,0.04,0.0,0.0
2000,1101,0.0,0.12,0.25
2000,1102,0.0,0.0,0.06
2000,1103,0.1,0.0,0.07
2000,1104,0.07,0.12,0.21
2000,1105,0.0,0.0,0.03
2000,1106,0.0,0.0,0.0
2000,1107,0.0,0.09,0.31
2000,1108,0.11,0.0,0.1
2000,1109,0.18,0.0,0.23
2000,1110,0.0,0.32,0.04
2000,1111,0.12,0.0,0.0
2000,1112,0.0,0.22,0.37
2000,1113,0.0,0.0,0.0
2000,1114,0.0,0.18,0.0
2000,1115,0.23,0.33,0.0
2000,1116,0.0,0.0,0.17
2000,1117,0.03,0.37,0.0
2000,1118,0.16,0.28,0.09
2000,1119,0.09,0.0,0.0
2000,1120,0.03,0.0,0.0
2000,1121,0.15,0.0,0.0
2000,1122,0.02,0.0,0.05
2000,1123,0.27,0.0,0.16
2000,1124,0.02,0.09,0.12
2000,1125,0.0,0.06,0.0
2000,1126,0.0,0.0,0.05
2000,1127,0.07,0.0,0.04
2000,1128,0.1,0.28,0.0
2000,1129,0.0,0.0,0.24
2000,1130,0.0,0.2,0.12
2000,1131,0.25,0.0,0.34
2000,1132,0.0,0.15,0.0
2000,1133,0.15,0.0,0.0
2000,1134,0.14,0.0,0.1
2000,1135,0.0,0.0,0.0
2000,1136,0.17,0.05,0.16
2000,1137,0.0,0.0,0.11
2000,1138,0.0,0.15,0.0
2000,1139,0.0,0.23,0.33
2000,1140,0.1,0.12,0.17
2000,1141,0.19,0.0,0.15
2000,1142,0.11,0.04,0.19
2000,1143,32.06,30.67,29.74
2000,1144,56.54,58.46,56.78
2000,1145,126.52,127.25,124.31
2000,1146,40.57,40.82,40.63
2000,1147,1.82,2.89,2.62
2000,1148,0.2,0.0,0.08
2000,1149,0.0,0.23,0.0
2000,1150,1.58,1.82,3.46
2000,1151,1.66,2.07,3.39
2000,1152,0.15,0.0,0.0
2000,1153,0.5,0.02,0.22
2000,1154,16.39,16.58,16.96
2000,1155,0.0,0.01,0.0
2000,1156,18.5,18.47,18.18
2000,1157,0.0,0.16,0.0
2000,1158,0.0,0.0,0.04
2000,1159,0.03,0.25,0.03
2000,1160,0.74,0.43,0.31
2000,1161,0.0,0.07,0.0
2000,1162,0.0,0.0,0.0
2000,1163,0.0,0.0,0.19
2000,1164,0.0,0.0,0.0
2000,1165,0.02,0.07,0.0
2000,1166,0.25,0.0,0.0
2000,1167,0.26,0.0,0.28
2000,1168,0.0,0.35,0.34
2000,1169,0.11,0.2,0.44
2000,1170,0.0,0.15,0.09
2000,1171,0.0,0.07,0.19
2000,1172,0.09,0.28,0.0
2000,1173,0.0,0.0,0.08
2000,1174,0.0,0.0,0.03
2000,1175,0.0,0.16,0.0
2000,1176,0.0,0.23,0.01
2000,1177,0.1,0.06,0.0
2000,1178,0.0,0.35,0.0
2000,1179,0.16,0.0,0.0
2000,1180,0.11,0.03,0.04
2000,1181,0.0,0.14,0.01
2000,1182,0.0,0.05,0.0
2000,1183,1.08,2.75,2.76
2000,1184,28.21,29.05,27.59
2000,1185,3.68,3.93,5.73
2000,1186,113.29,113.93,110.87
2000,1187,0.97,0.78,0.79
2000,1188,0.08,0.02,0.0
2000,1189,0.04,0.22,0.2
2000,1190,0.0,0.0,0.23
2000,1191,0.07,0.08,0.0
2000,1192,0.0,0.16,0.01
2000,1193,0.4,0.06,0.35
2000,1194,0.07,0.12,0.0
2000,1195,0.28,0.3,0.39
2000,1196,0.09,0.0,0.09
2000,1197,0.0,0.45,0.44
2000,1198,0.27,1.24,0.41
2000,1199,0.0,0.0,0.0
2000,1200,0.15,0.73,0.44
2000,1201,0.0,0.05,0.0
2000,1202,0.13,0.0,0.41
2000,1203,0.0,0.0,0.01
2000,1204,0.03,0.44,0.0
2000,1205,0.03,0.19,0.0
2000,1206,0.09,0.12,0.0
2000,1207,0.09,0.0,0.0
2000,1208,6.65,6.78,6.07
2000,1209,0.38,0.13,0.11
2000,1210,27.35,31.49,30.02
2000,1211,0.0,0.2,0.0
2000,1212,0.0,0.11,0.33
2000,1213,0.47,0.31,0.41
2000,1214,5.32,5.64,5.4
2000,1215,2.78,2.41,1.39
2000,1216,0.46,1.27,1.93
2000,1217,0.28,0.0,0.34
2000,1218,0.0,0.05,0.26
2000,1219,0.36,0.62,0.12
2000,1220,0.0,0.0,0.0
2000,1221,0.02,0.0,0.0
2000,1222,7.97,8.46,7.77
2000,1223,0.0,0.17,0.09
2000,1224,0.0,0.4,0.0
2000,1225,0.0,0.0,0.0
2000,1226,0.0,0.1,0.0
2000,1227,0.0,0.31,0.09
2000,1228,0.0,0.0,0.07
2000,1229,0.0,0.12,0.0
2000,1230,0.0,0.12,0.0
2000,1231,0.23,0.26,0.24
2000,1232,0.22,0.24,0.04
2000,1233,0.0,0.0,0.0
2000,1234,0.16,0.0,0.0
2000,1235,0.0,0.0,0.05
2000,1236,0.0,0.0,0.09
2000,1237,0.13,0.0,0.0
2000,1238,0.17,0.29,0.04
2000,1239,0.98,2.72,2.44
2000,1240,0.6,0.0,0.0
2000,1241,1.01,0.13,0.19
2000,1242,0.58,0.0,0.47
2000,1243,0.28,0.39,0.0
2000,1244,0.09,0.06,0.0
2000,1245,0.16,0.15,0.14
2000,1246,0.0,0.17,0.0
2000,1247,0.0,0.0,0.0
2000,1248,0.09,0.16,0.29
2000,1249,0.07,0.0,0.03
2000,1250,0.0,0.0,0.16
2000,1251,0.36,0.0,0.0
2000,1252,0.16,1.05,1.22
2000,1253,0.03,0.0,0.0
2000,1254,0.03,0.01,0.13
2000,1255,0.0,0.32,0.0
2000,1256,0.04,0.28,0.0
2000,1257,0.07,0.03,0.01
2000,1258,0.0,0.0,0.0
2000,1259,0.26,0.0,0.23
2000,1260,0.08,0.05,0.03
2000,1261,0.0,0.03,0.04
2000,1262,0.0,0.15,0.01
2000,1263,0.0,0.0,0.0
2000,1264,0.0,0.1,0.0
2000,1265,0.0,0.06,0.0
2000,1266,0.18,0.25,0.23
2000,1267,0.11,0.0,0.0
2000,1268,0.0,0.0,0.0
2000,1269,0.0,0.02,0.0
2000,1270,0.0,0.2,0.0
2000,1271,0.18,0.14,0.15
2000,1272,0.0,0.0,0.28
2000,1273,0.0,0.06,0.16
2000,1274,0.0,0.04,0.0
2000,1275,0.0,0.0,0.0
2000,1276,0.18,0.0,0.0
2000,1277,0.79,0.0,0.0
2000,1278,0.0,0.0,0.05
2000,1279,0.42,0.07,0.24
2000,1280,0.21,0.06,0.0
2000,1281,0.0,0.0,0.02
2000,1282,0.11,0.0,0.0
2000,1283,0.03,0.06,0.24
2000,1284,0.02,0.0,0.0
2000,1285,0.0,0.0,0.0
2000,1286,0.0,0.0,0.01
2000,1287,0.04,0.0,0.0
2000,1288,0.0,0.29,0.0
2000,1289,0.14,0.0,0.01
2000,1290,0.03,0.0,0.22
2000,1291,0.0,0.0,0.07
2000,1292,0.0,0.18,0.0
2000,1293,0.21,0.0,0.21
2000,1294,0.22,0.0,0.0
2000,1295,0.0,0.0,0.0
2000,1296,0.0,0.0,0.0
2000,1297,0.08,0.0,0.0
2001,1000,0.02,0.04,0.02
2001,1001,1.46,1.48,1.52
2001,1002,0.04,0.0,0.0
2001,1003,7.77,8.16,8.19
2001,1004,0.0,0.01,0.0
2001,1005,0.0,0.0,0.0
2001,1006,0.0,0.01,0.0
2001,1007,0.01,0.07,0.02
2001,1008,0.0,0.0,0.03
2001,1009,0.06,0.0,0.0
2001,1010,0.71,0.74,0.65
2001,1011,0.0,0.04,0.0
2001,1012,0.49,0.44,0.39
2001,1013,0.0,0.0,0.0
2001,1014,0.0,0.0,0.03
2001,1015,0.0,0.0,0.0
2001,1016,0.0,0.04,0.0
2001,1017,0.05,0.0,0.06
2001,1018,0.01,0.03,0.01
2001,1019,0.0,0.0,0.01
2001,1020,0.0,0.01,0.0
2001,1021,0.0,0.03,0.05
2001,1022,0.01,0.02,0.0
2001,1023,0.0,0.0,0.0
2001,1024,0.0,0.04,0.0
2001,1025,0.01,0.03,0.0
2001,1026,0.02,0.01,0.0
2001,1027,1.7,1.69,1.64
2001,1028,0.04,0.0,0.0
2001,1029,6.47,6.33,5.66
2001,1030,0.0,0.0,0.0
2001,1031,33.02,34.01,34.45
2001,1032,0.0,0.01,0.0
2001,1033,0.0,0.01,0.0
2001,1034,12.46,12.82,12.54
2001,1035,0.0,0.0,0.0
2001,1036,0.0,0.01,0.0
2001,1037,21.3,21.68,21.22
2001,1038,11.02,11.16,11.2
2001,1039,0.04,0.0,0.0
2001,1040,1.76,1.79,1.76
2001,1041,0.03,0.0,0.03
2001,1042,8.0,8.21,8.18
2001,1043,0.04,0.0,0.0
2001,1044,6.05,5.9,5.93
2001,1045,0.16,0.02,0.03
2001,1046,0.03,0.01,0.0
2001,1047,0.0,0.01,0.01
2001,1048,0.21,0.23,0.25
2001,1049,0.02,0.0,0.01
2001,1050,0.0,0.0,0.01
2001,1051,9.16,9.08,9.08
2001,1052,0.01,0.03,0.03
2001,1053,6.77,7.03,6.97
2001,1054,40.56,41.7,41.75
2001,1055,0.0,0.04,0.02
2001,1056,0.07,0.0,0.0
2001,1057,0.01,0.01,0.02
2001,1058,0.01,0.01,0.0
2001,1059,0.0,0.02,0.03
2001,1060,0.0,0.01,0.07
2001,1061,15.16,15.77,15.31
2001,1062,0.03,0.05,0.0
2001,1063,0.04,0.0,0.02
2001,1064,0.0,0.01,0.02
2001,1065,0.0,0.0,0.0
2001,1066,0.0,0.03,0.08
2001,1067,0.05,0.05,0.0
2001,1068,0.0,0.05,0.02
2001,1069,0.0,0.04,0.0
2001,1070,0.0,0.0,0.04
2001,1071,0.02,0.01,0.09
2001,1072,0.0,0.0,0.0
2001,1073,0.0,0.04,0.0
2001,1074,0.01,0.02,0.0
2001,1075,0.05,0.01,0.02
2001,1076,0.0,0.0,0.0
2001,1077,0.0,0.01,0.02
2001,1078,0.0,0.0,0.04
2001,1079,0.0,0.0,0.0
2001,1080,0.0,0.0,0.04
2001,1081,0.05,0.0,0.0
2001,1082,0.05,0.0,0.0
2001,1083,0.04,0.01,0.0
2001,1084,0.01,0.0,0.01
2001,1085,0.02,0.0,0.01
2001,1086,0.06,0.01,0.05
2001,1087,0.0,0.02,0.0
2001,1088,0.0,0.0,0.0
2001,1089,0.0,0.06,0.0
2001,1090,0.01,0.0,0.0
2001,1091,14.45,15.49,14.76
2001,1092,0.05,0.03,0.0
2001,1093,0.0,0.0,0.0
2001,1094,0.0,0.05,0.02
2001,1095,0.0,0.0,0.0
2001,1096,0.0,0.0,0.01
2001,1097,0.01,0.0,0.01
2001,1098,0.0,0.0,0.09
2001,1099,0.0,0.0,0.0
2001,1100,0.0,0.03,0.02
2001,1101,0.0,0.05,0.0
2001,1102,0.05,0.01,0.0
2001,1103,0.02,0.0,0.01
2001,1104,0.09,0.1,0.06
2001,1105,0.0,0.01,0.0
2001,1106,0.0,0.0,0.0
2001,1107,0.02,0.0,0.02
2001,1108,0.02,0.0,0.0
2001,1109,0.0,0.0,0.0
2001,1110,0.0,0.0,0.0
2001,1111,0.0,0.06,0.04
2001,1112,0.0,0.06,0.0
2001,1113,0.0,0.04,0.0
2001,1114,0.0,0.0,0.05
2001,1115,0.0,0.0,0.0
2001,1116,0.0,0.0,0.02
2001,1117,0.0,0.01,0.0
2001,1118,0.02,0.01,0.02
2001,1119,0.02,0.01,0.02
2001,1120,0.0,0.0,0.02
2001,1121,0.04,0.0,0.03
2001,1122,0.0,0.0,0.0
2001,1123,0.03,0.0,0.0
2001,1124,0.0,0.0,0.02
2001,1125,0.01,0.0,0.0
2001,1126,0.0,0.01,0.01
2001,1127,0.03,0.03,0.05
2001,1128,0.0,0.05,0.02
2001,1129,0.0,0.0,0.01
2001,1130,0.0,0.0,0.07
2001,1131,0.02,0.01,0.01
2001,1132,0.0,0.07,0.0
2001,1133,0.0,0.0,0.0
2001,1134,0.0,0.01,0.0
2001,1135,0.01,0.0,0.03
2001,1136,0.04,0.0,0.0
2001,1137,0.0,0.0,0.0
2001,1138,0.0,0.03,0.0
2001,1139,0.0,0.04,0.02
2001,1140,0.04,0.0,0.05
2001,1141,0.01,0.0,0.0
2001,1142,0.0,0.05,0.03
2001,1143,0.03,0.0,0.01
2001,1144,0.0,0.0,0.0
2001,1145,0.0,0.0,0.0
2001,1146,0.03,0.0,0.03
2001,1147,0.0,0.03,0.07
2001,1148,0.0,0.0,0.04
2001,1149,0.01,0.04,0.05
2001,1150,0.0,0.03,0.0
2001,1151,0.06,0.0,0.08
2001,1152,0.04,0.03,0.0
2001,1153,0.02,0.0,0.0
2001,1154,0.0,0.04,0.0
2001,1155,0.0,0.02,0.03
2001,1156,0.06,0.0,0.03
2001,1157,0.04,0.0,0.0
2001,1158,0.0,0.0,0.0
2001,1159,0.05,0.03,0.02
2001,1160,0.04,0.0,0.0
2001,1161,0.0,0.01,0.0
2001,1162,0.05,0.0,0.0
2001,1163,0.0,0.0,0.0
2001,1164,0.04,0.0,0.0
2001,1165,0.02,0.0,0.05
2001,1166,0.04,0.03,0.02
2001,1167,0.11,0.0,0.06
2001,1168,0.04,0.0,0.0
2001,1169,0.05,0.08,0.02
2001,1170,0.0,0.02,0.02
2001,1171,0.0,0.03,0.03
2001,1172,0.05,0.0,0.0
2001,1173,0.03,0.03,0.0
2001,1174,0.0,0.0,0.04
2001,1175,0.0,0.02,0.04
2001,1176,0.0,0.02,0.0
2001,1177,0.03,0.0,0.0
2001,1178,0.01,0.02,0.1
2001,1179,0.0,0.0,0.0
2001,1180,0.0,0.02,0.0
2001,1181,0.0,0.0,0.02
2001,1182,0.03,0.0,0.01
2001,1183,0.05,0.04,0.0
2001,1184,0.05,0.0,0.01
2001,1185,0.01,0.0,0.0
2001,1186,0.0,0.0,0.02
2001,1187,0.0,0.01,0.0
2001,1188,0.01,0.0,0.0
2001,1189,0.0,0.04,0.01
2001,1190,0.0,0.0,0.0
2001,1191,0.0,0.02,0.0
2001,1192,0.0,0.02,0.0
2001,1193,0.01,0.0,0.02
2001,1194,0.01,0.0,0.0
2001,1195,0.0,0.0,0.0
2001,1196,0.01,0.01,0.02
2001,1197,0.0,0.03,0.0
2001,1198,0.01,0.03,0.0
2001,1199,0.02,0.0,0.02
2001,1200,0.0,0.04,0.02
2001,1201,0.06,0.0,0.0
2001,1202,0.04,0.0,0.02
2001,1203,0.0,0.0,0.01
2001,1204,0.0,0.05,0.0
2001,1205,0.0,0.01,0.0
2001,1206,0.03,0.01,0.02
2001,1207,0.01,0.0,0.0
2001,1208,0.02,0.01,0.0
2001,1209,0.0,0.01,0.02
2001,1210,0.0,0.02,0.0
2001,1211,0.0,0.0,0.0
2001,1212,0.05,0.02,0.04
2001,1213,0.0,0.01,0.0
2001,1214,0.01,0.05,0.05
2001,1215,0.0,0.05,0.0
2001,1216,0.0,0.03,0.0
2001,1217,0.05,0.0,0.06
2001,1218,0.0,0.0,0.03
2001,1219,0.0,0.0,0.05
2001,1220,0.0,0.0,0.0
2001,1221,0.02,0.0,0.04
2001,1222,0.0,0.0,0.03
2001,1223,0.0,0.01,0.01
2001,1224,0.04,0.05,0.0
2001,1225,0.0,0.0,0.01
2001,1226,0.0,0.02,0.0
2001,1227,0.04,0.03,0.0
2001,1228,0.0,0.03,0.0
2001,1229,0.0,0.01,0.0
2001,1230,0.04,0.0,0.0
2001,1231,0.03,0.07,0.0
2001,1232,0.06,0.0,0.01
2001,1233,0.0,0.0,0.0
2001,1234,0.03,0.06,0.04
2001,1235,0.02,0.0,0.0
2001,1236,0.0,0.08,0.0
2001,1237,0.0,0.0,0.0
2001,1238,0.0,0.0,0.06
2001,1239,0.0,0.06,0.01
2001,1240,0.04,0.0,0.0
2001,1241,0.04,0.0,0.0
2001,1242,0.0,0.0,0.05
2001,1243,0.02,0.02,0.0
2001,1244,0.06,0.0,0.0
2001,1245,0.0,0.05,0.0
2001,1246,0.0,0.0,0.0
2001,1247,0.05,0.0,0.02
2001,1248,0.0,0.02,0.04
2001,1249,0.01,0.0,0.02
2001,1250,0.01,0.0,0.01
2001,1251,0.05,0.02,0.0
2001,1252,0.0,0.0,0.06
2001,1253,0.0,0.03,0.0
2001,1254,0.0,0.0,0.04
2001,1255,0.0,0.01,0.0
2001,1256,0.0,0.04,0.03
2001,1257,0.0,0.01,0.0
2001,1258,0.0,0.0,0.01
2001,1259,0.02,0.0,0.0
2001,1260,0.0,0.0,0.01
2001,1261,0.0,0.01,0.0
2001,1262,0.0,0.0,0.0
2001,1263,0.02,0.0,0.02
2001,1264,0.05,0.05,0.0
2001,1265,0.0,0.01,0.0
2001,1266,0.0,0.0,0.04
2001,1267,0.01,0.0,0.0
2001,1268,0.0,0.0,0.0
2001,1269,0.03,0.0,0.0
2001,1270,0.04,0.04,0.0
2001,1271,0.01,0.01,0.0
2001,1272,0.0,0.0,0.0
2001,1273,0.0,0.01,0.0
2001,1274,0.0,0.0,0.0
2001,1275,0.0,0.0,0.0
2001,1276,0.01,0.0,0.03
2001,1277,0.02,0.01,0.0
2001,1278,0.0,0.0,0.03
2001,1279,0.02,0.03,0.02
2001,1280,0.01,0.0,0.01
2001,1281,0.02,0.01,0.0
2001,1282,0.0,0.0,0.0
2001,1283,0.0,0.0,0.0
2001,1284,0.0,0.0,0.0
2001,1285,0.0,0.06,0.01
2001,1286,0.0,0.01,0.02
2001,1287,0.04,0.0,0.04
2001,1288,0.0,0.01,0.0
2001,1289,0.0,0.0,0.01
2001,1290,0.0,0.01,0.0
2001,1291,0.0,0.0,0.0
2001,1292,0.0,0.06,0.0
2001,1293,0.02,0.0,0.01
2001,1294,0.04,0.04,0.0
2001,1295,0.0,0.06,0.03
2001,1296,0.02,0.01,0.0
2001,1297,0.04,0.0,0.0
2002,1000,0.09,0.28,0.16
2002,1001,5.3,5.39,5.59
2002,1002,0.16,0.0,0.0
2002,1003,30.15,31.74,31.74
2002,1004,0.0,0.03,0.0
2002,1005,0.03,0.01,0.0
2002,1006,0.04,0.01,0.0
2002,1007,0.04,0.15,0.14
2002,1008,0.0,0.05,0.05
2002,1009,0.3,0.0,0.0
2002,1010,2.57,2.62,2.34
2002,1011,0.0,0.2,0.0
2002,1012,2.06,1.89,1.73
2002,1013,0.07,0.0,0.0
2002,1014,0.0,0.0,0.09
2002,1015,0.0,0.0,0.0
2002,1016,0.0,0.1,0.0
2002,1017,0.16,0.0,0.16
2002,1018,0.03,0.09,0.07
2002,1019,0.0,0.0,0.04
2002,1020,0.0,0.11,0.0
2002,1021,0.0,0.1,0.12
2002,1022,0.04,0.05,0.0
2002,1023,0.0,0.0,0.0
2002,1024,0.0,0.13,0.08
2002,1025,0.02,0.07,0.0
2002,1026,0.06,0.04,0.0
2002,1027,6.04,5.98,5.75
2002,1028,0.12,0.0,0.0
2002,1029,24.81,24.27,21.71
2002,1030,0.0,0.04,0.02
2002,1031,130.33,134.26,135.92
2002,1032,0.0,0.04,0.0
2002,1033,0.0,0.05,0.01
2002,1034,48.7,50.04,48.81
2002,1035,0.0,0.0,0.0
2002,1036,0.01,0.08,0.0
2002,1037,83.85,85.34,83.54
2002,1038,42.76,43.43,43.53
2002,1039,0.09,0.0,0.0
2002,1040,6.39,6.44,6.36
2002,1041,0.0,0.0,0.14
2002,1042,31.02,31.94,31.7
2002,1043,0.12,0.0,0.0
2002,1044,23.18,22.65,22.76
2002,1045,0.79,0.32,0.34
2002,1046,0.13,0.01,0.0
2002,1047,0.0,0.03,0.0
2002,1048,0.86,1.04,1.05
2002,1049,0.05,0.0,0.01
2002,1050,0.0,0.01,0.02
2002,1051,35.38,35.13,35.16
2002,1052,0.22,0.32,0.27
2002,1053,26.66,27.78,27.38
2002,1054,160.3,164.73,164.94
2002,1055,0.0,0.15,0.0
2002,1056,0.25,0.0,0.0
2002,1057,0.0,0.04,0.04
2002,1058,0.02,0.07,0.0
2002,1059,0.02,0.04,0.09
2002,1060,0.0,0.15,0.35
2002,1061,60.79,63.29,61.4
2002,1062,0.16,0.2,0.0
2002,1063,0.22,0.0,0.15
2002,1064,0.0,0.11,0.07
2002,1065,0.0,0.01,0.0
2002,1066,0.0,0.15,0.31
2002,1067,0.22,0.22,0.06
2002,1068,0.07,0.25,0.14
2002,1069,0.0,0.13,0.0
2002,1070,0.0,0.0,0.15
2002,1071,0.04,0.0,0.3
2002,1072,0.0,0.0,0.0
2002,1073,0.0,0.13,0.0
2002,1074,0.09,0.05,0.0
2002,1075,0.09,0.06,0.06
2002,1076,0.0,0.01,0.0
2002,1077,0.07,0.09,0.13
2002,1078,0.0,0.0,0.18
2002,1079,0.0,0.02,0.0
2002,1080,0.04,0.0,0.13
2002,1081,0.09,0.0,0.0
2002,1082,0.15,0.0,0.0
2002,1083,0.18,0.01,0.01
2002,1084,0.05,0.0,0.01
2002,1085,0.07,0.0,0.09
2002,1086,0.28,0.06,0.23
2002,1087,0.0,0.04,0.0
2002,1088,0.0,0.0,0.0
2002,1089,0.03,0.22,0.01
2002,1090,0.11,0.0,0.03
2002,1091,56.92,60.95,57.97
2002,1092,0.14,0.02,0.0
2002,1093,0.0,0.0,0.0
2002,1094,0.02,0.11,0.1
2002,1095,0.07,0.0,0.0
2002,1096,0.0,0.01,0.0
2002,1097,0.04,0.0,0.02
2002,1098,0.0,0.0,0.28
2002,1099,0.0,0.0,0.0
2002,1100,0.0,0.08,0.1
2002,1101,0.04,0.24,0.0
2002,1102,0.22,0.04,0.0
2002,1103,0.0,0.01,0.01
2002,1104,0.31,0.4,0.23
2002,1105,0.0,0.03,0.0
2002,1106,0.0,0.0,0.0
2002,1107,0.06,0.0,0.02
2002,1108,0.09,0.0,0.0
2002,1109,0.0,0.0,0.0
2002,1110,0.0,0.13,0.0
2002,1111,0.0,0.21,0.1
2002,1112,0.0,0.3,0.0
2002,1113,0.0,0.12,0.0
2002,1114,0.0,0.0,0.17
2002,1115,0.0,0.0,0.0
2002,1116,0.0,0.03,0.06
2002,1117,0.0,0.0,0.0
2002,1118,0.05,0.0,0.01
2002,1119,0.1,0.06,0.07
2002,1120,0.0,0.02,0.06
2002,1121,0.13,0.08,0.06
2002,1122,0.0,0.0,0.0
2002,1123,0.04,0.0,0.01
2002,1124,0.0,0.01,0.17
2002,1125,0.03,0.0,0.0
2002,1126,0.0,0.02,0.02
2002,1127,0.12,0.19,0.15
2002,1128,0.0,0.28,0.14
2002,1129,0.0,0.0,0.11
2002,1130,0.0,0.05,0.27
2002,1131,0.01,0.01,0.0
2002,1132,0.04,0.23,0.0
2002,1133,0.0,0.06,0.0
2002,1134,0.0,0.0,0.0
2002,1135,0.1,0.0,0.07
2002,1136,0.12,0.0,0.0
2002,1137,0.03,0.0,0.0
2002,1138,0.0,0.11,0.0
2002,1139,0.0,0.18,0.08
2002,1140,0.19,0.02,0.27
2002,1141,0.02,0.0,0.0
2002,1142,0.0,0.09,0.1
2002,1143,0.09,0.08,0.0
2002,1144,0.0,0.02,0.0
2002,1145,0.0,0.0,0.0
2002,1146,0.02,0.0,0.04
2002,1147,0.0,0.08,0.22
2002,1148,0.0,0.0,0.21
2002,1149,0.05,0.18,0.2
2002,1150,0.0,0.09,0.0
2002,1151,0.25,0.0,0.37
2002,1152,0.16,0.08,0.0
2002,1153,0.04,0.0,0.01
2002,1154,0.0,0.18,0.0
2002,1155,0.0,0.02,0.13
2002,1156,0.12,0.0,0.13
2002,1157,0.06,0.0,0.0
2002,1158,0.0,0.03,0.0
2002,1159,0.19,0.08,0.02
2002,1160,0.14,0.0,0.02
2002,1161,0.02,0.0,0.07
2002,1162,0.18,0.0,0.0
2002,1163,0.0,0.01,0.0
2002,1164,0.13,0.0,0.0
2002,1165,0.16,0.0,0.15
2002,1166,0.11,0.08,0.08
2002,1167,0.33,0.0,0.15
2002,1168,0.12,0.03,0.0
2002,1169,0.09,0.12,0.05
2002,1170,0.0,0.09,0.08
2002,1171,0.0,0.05,0.0
2002,1172,0.17,0.0,0.0
2002,1173,0.15,0.12,0.1
2002,1174,0.0,0.0,0.16
2002,1175,0.0,0.07,0.18
2002,1176,0.0,0.08,0.0
